scaling_method,root_age
mbl,258.648341809893
mbl,258.463145246077
mbl,258.898450578703
mbl,258.975950568619
mbl,260.352174328542
mbl,257.668134725895
mbl,257.370005162712
mbl,257.206585318828
mbl,257.553720913508
mbl,257.541194936037
mbl,257.535719372262
mbl,257.503775152774
mbl,257.546311939997
mbl,257.633538341778
mbl,257.910449759895
mbl,258.605315355251
mbl,259.398266019113
mbl,258.809756372916
mbl,258.82795010271
mbl,258.670872855792
mbl,258.228271827055
mbl,259.975558038801
mbl,259.017203930994
mbl,258.994066900807
mbl,259.559142015269
mbl,259.529882383561
mbl,259.287140719371
mbl,258.95097468415
mbl,257.816481652739
mbl,257.402341388979
mbl,259.181070650211
mbl,259.353236372394
mbl,258.53609892369
mbl,259.2961109498
mbl,259.103879719807
mbl,264.279218008276
mbl,262.227843824422
mbl,264.609001416662
mbl,264.909184076302
mbl,261.686647775236
mbl,263.129804243178
mbl,263.561902841474
mbl,263.364012721067
mbl,263.461973237442
mbl,263.203301978076
mbl,260.045652939794
mbl,260.057747802241
mbl,259.795433620915
mbl,258.329297947697
mbl,259.560856069927
mbl,259.759603442939
mbl,260.327930208074
mbl,260.257461799351
mbl,258.570042077012
mbl,258.737115463342
mbl,262.299581333727
mbl,261.088057186415
mbl,262.534264580843
mbl,260.423585661533
mbl,262.120135001754
mbl,261.055722159601
mbl,261.8745617624
mbl,260.583920750753
mbl,260.530252340389
mbl,261.560129216735
mbl,256.772005533762
mbl,256.739326332274
mbl,257.779530083109
mbl,257.870751787059
mbl,257.745926142065
mbl,257.299778324319
mbl,257.177339853565
mbl,257.61606227932
mbl,257.039060357818
mbl,257.842561432326
mbl,261.318685312802
mbl,264.639416222246
mbl,264.076447472977
mbl,261.59574618882
mbl,261.682108345488
mbl,262.747640368855
mbl,262.239824834783
mbl,263.969751791186
mbl,261.615995245334
mbl,261.644182864979
mbl,259.49985571506
mbl,258.38307984835
mbl,256.562909671501
mbl,258.049654490324
mbl,256.597051780135
mbl,258.980853437614
mbl,258.122821116643
mbl,257.770508015084
mbl,257.28472471568
mbl,257.581213575178
mbl,260.341235756907
mbl,261.320916370505
mbl,260.374531061631
mbl,259.944376434968
mbl,259.541121938941
mbl,260.110370172008
mbl,260.653731538095
mbl,261.519999772306
mbl,259.789861121986
mbl,260.700002303598
mbl,255.858262828719
mbl,255.485367235388
mbl,255.873827199675
mbl,255.30797616886
mbl,255.852152206898
mbl,255.542155674822
mbl,255.832486282776
mbl,255.725786115471
mbl,255.597920659278
mbl,255.379774203221
mbl,257.210177553166
mbl,257.275000366429
mbl,258.398560692861
mbl,258.350793571118
mbl,257.50641823425
mbl,257.445256945491
mbl,257.397928097332
